ID,Congressional District,Call Date,Disposition,Q1
65714,9,9/29/2020,Left Message,
141176,2,10/2/2020,D,
4363,1,9/28/2020,Wrong Number,
45427,12,9/28/2020,Left Message,
23224,1,10/01/2020,Wrong Number,
32163,9,9/28/2020,D,
35485,10,9/28/2020,Left Message,
148250,5,10/2/2020,Left Message,
129418,8,10/1/2020,D,
152036,6,10/2/2020,D,
141843,2,10/2/2020,Left Message,
154119,6,10/2/2020,Left Message,
77262,12,9/29/2020,Left Message,
34234,9,9/28/2020,Left Message,
110664,15,9/30/2020,Left Message,
95199,11,9/30/2020,Left Message,
41271,11,9/28/2020,Left Message,
34657,9,9/28/2020,C,4 - Refused
87238,8,9/30/2020,Left Message,
138166,13,10/1/2020,D,
1230,1,9/28/2020,Wrong Number,
104976,13,9/30/2020,Left Message,
112678,1,10/1/2020,C,4 - Refused
29856,8,9/28/2020,D,
110917,15,9/30/2020,Left Message,
132441,10,10/1/2020,Left Message,
104605,13,9/30/2020,D,
82058,14,9/29/2020,D,
1537,1,9/28/2020,Wrong Number,
131133,9,10/1/2020,C,2
63931,9,9/29/2020,C,1
38114,11,9/28/2020,C,4
5316,1,9/28/2020,Left Message Recording,
132515,10,10/1/2020,D,
114144,1,10/1/2020,C,Yes
63413,9,9/29/2020,Left Message,
29249,8,9/28/2020,D,
138335,13,10/1/2020,D,
110776,15,9/30/2020,Left Message,
86339,8,9/30/2020,Left Message,
37459,11,9/28/2020,Left Message,
159958,7,10/2/2020,Left Message,
87037,8,9/30/2020,Left Message,
145199,3,10/2/2020,Left Message,
104046,13,9/30/2020,Left Message,
50875,13,9/28/2020,Left Message,
27258,1,10/2/2020,Wrong Number,
157322,7,10/2/2020,Left Message,
153148,6,10/2/2020,Left Message,
19216,1,9/30/2020,Wrong Number,
136868,12,10/1/2020,D,
90306,10,9/30/2020,Left Message,
93350,11,9/30/2020,Left Message,
88247,9,9/30/2020,Left Message,
62487,8,9/29/2020,C,4
91305,10,9/30/2020,Left Message,
135737,11,10/1/2020,D,
46995,12,9/28/2020,C,4 - Refused
24558,1,10/01/2020,Wrong Number,
76623,12,9/29/2020,Left Message,
147846,4,10/2/2020,C,4 - Refused
95559,11,9/30/2020,D,
162953,7,10/2/2020,Left Message,
138640,14,10/1/2020,D,
64559,9,9/29/2020,D,
45510,12,9/28/2020,Left Message,
46850,12,9/28/2020,Left Message,
121706,2,10/1/2020,Left Message,
141988,2,10/2/2020,Left Message,
128714,8,10/1/2020,Left Message,
125756,2,10/1/2020,Left Message,
51168,13,9/28/2020,C,1
16373,1,9/30/2020,Wrong Number,
25448,1,10/01/2020,Left Message Recording,
99533,12,9/30/2020,D,
96094,11,9/30/2020,Left Message,
31722,8,9/28/2020,C,1
157559,7,10/2/2020,Left Message,
88885,9,9/30/2020,C,4
91422,10,9/30/2020,C,4 - Refused
58106,8,9/29/2020,D,
