,ID,Congressional District,Call Date,Disposition,Q1
248,105206,13,09/30/2020,Left Message,None
249,142544,3,10/02/2020,Left Message,None
250,134099,11,10/01/2020,Bad Number,None
251,150788,6,10/02/2020,Left Message,None
252,139587,15,10/01/2020,Bad Number,None
253,44982,12,09/28/2020,Left Message,None
254,41526,11,09/28/2020,Left Message,None
255,154570,6,10/02/2020,Bad Number,None
256,34526,9,09/28/2020,Bad Number,None
257,310,1,09/28/2020,Left Message,None
258,93843,11,09/30/2020,Left Message,None
259,58164,8,09/29/2020,Left Message,None
260,3497,1,09/28/2020,Left Message,None
261,156245,6,10/02/2020,Left Message,None
262,36100,10,09/28/2020,Left Message,None
263,53355,14,09/28/2020,Bad Number,None
264,145543,3,10/02/2020,Left Message,None
265,24929,1,10/01/2020,Wrong Number,None
266,110986,15,09/30/2020,Bad Number,None
267,67759,10,09/29/2020,Answered,Refused
268,127512,2,10/01/2020,Left Message,None
269,34241,9,09/28/2020,Bad Number,None
270,156321,6,10/02/2020,Left Message,None
271,124684,2,10/01/2020,Left Message,None
272,10016,1,09/29/2020,Wrong Number,None
273,152117,6,10/02/2020,Left Message,None
274,91390,10,09/30/2020,Left Message,None
275,151217,6,10/02/2020,Left Message,None
276,121482,2,10/01/2020,Left Message,None
277,40939,11,09/28/2020,Left Message,None
278,109268,15,09/30/2020,Left Message,None
279,73227,11,09/29/2020,Left Message,None
280,77273,12,09/29/2020,Left Message,None
281,145414,3,10/02/2020,Left Message,None
282,116871,2,10/01/2020,Left Message,None
283,125025,2,10/01/2020,Left Message,None
284,117075,2,10/01/2020,Left Message,None
285,117310,2,10/01/2020,Left Message,None
286,36922,10,09/28/2020,Left Message,None
287,15906,1,09/30/2020,Wrong Number,None
288,141,1,09/28/2020,Left Message,None
289,96186,11,09/30/2020,Answered,Refused
290,138357,13,10/01/2020,Bad Number,None
291,123689,2,10/01/2020,Left Message,None
292,95201,11,09/30/2020,Left Message,None
293,147686,4,10/02/2020,Left Message,None
294,57979,8,09/29/2020,Left Message,None
295,52564,14,09/28/2020,Left Message,None
296,62582,8,09/29/2020,Left Message,None
297,35866,10,09/28/2020,Bad Number,None
298,103442,13,09/30/2020,Left Message,None
299,84,1,09/28/2020,Left Message,None
300,102422,13,09/30/2020,Left Message,None
301,81632,14,09/29/2020,Bad Number,None
302,132007,10,10/01/2020,Bad Number,None
303,97023,12,09/30/2020,Left Message,None
304,17079,1,09/30/2020,Wrong Number,None
305,106456,14,09/30/2020,Left Message,None
306,25042,1,10/01/2020,Wrong Number,None
307,78787,13,09/29/2020,Left Message,None
308,11804,1,09/29/2020,Wrong Number,None
309,91264,10,09/30/2020,Answered,Refused
310,32602,9,09/28/2020,Left Message,None
311,88536,9,09/30/2020,Left Message,None
312,61180,8,09/29/2020,Left Message,None
313,148158,5,10/02/2020,Left Message,None
314,62418,8,09/29/2020,Left Message,None
315,6760,1,09/28/2020,Left Message,None
316,139,1,09/28/2020,Wrong Number,None
317,133262,11,10/01/2020,Bad Number,None
318,60188,8,09/29/2020,Left Message,None
319,129376,8,10/01/2020,Left Message,None
320,35361,10,09/28/2020,Left Message,None
321,1144,1,09/28/2020,Wrong Number,None
322,137914,13,10/01/2020,Bad Number,None
323,85035,15,09/29/2020,Left Message,None
324,61550,8,09/29/2020,Left Message,None
325,37472,11,09/28/2020,Bad Number,None
326,96656,11,09/30/2020,Left Message,None
327,51091,13,09/28/2020,Bad Number,None
328,96021,11,09/30/2020,Left Message,None
329,64042,9,09/29/2020,Left Message,None
330,141779,2,10/02/2020,Left Message,None
331,24688,1,10/01/2020,Wrong Number,None
332,81289,14,09/29/2020,Bad Number,None
333,65890,9,09/29/2020,Left Message,None
334,102771,13,09/30/2020,Left Message,None
335,85714,8,09/30/2020,Left Message,None
336,97804,12,09/30/2020,Bad Number,None
337,62607,8,09/29/2020,Left Message,None
338,108189,14,09/30/2020,Left Message,None
339,81690,14,09/29/2020,Bad Number,None
340,78971,13,09/29/2020,Bad Number,None
341,147931,4,10/02/2020,Left Message,None
342,158404,7,10/02/2020,Answered,No
343,50217,13,09/28/2020,Left Message,None
344,51247,13,09/28/2020,Bad Number,None
345,9862,1,09/28/2020,Left Message,None
346,13776,1,09/29/2020,Answered,Yes
347,29953,8,09/28/2020,Bad Number,None
348,25441,1,10/01/2020,Left Message,None
349,106036,14,09/30/2020,Answered,Refused
350,75079,12,09/29/2020,Answered,Refused
351,145952,3,10/02/2020,Left Message,None
352,53233,14,09/28/2020,Left Message,None
353,119176,2,10/01/2020,Left Message,None
354,141797,2,10/02/2020,Left Message,None
355,2868,1,09/28/2020,Wrong Number,None
356,6124,1,09/28/2020,Wrong Number,None
357,139736,15,10/01/2020,Bad Number,None
358,31475,8,09/28/2020,Left Message,None
359,103368,13,09/30/2020,Left Message,None
360,17668,1,09/30/2020,Wrong Number,None
361,93476,11,09/30/2020,Left Message,None
362,107717,14,09/30/2020,Left Message,None
363,79179,13,09/29/2020,Left Message,None
364,130808,9,10/01/2020,Bad Number,None
365,33132,9,09/28/2020,Answered,Yes
366,12422,1,09/29/2020,Wrong Number,None
367,141348,2,10/02/2020,Answered,Undecided
368,5656,1,09/28/2020,Left Message,None
369,107386,14,09/30/2020,Left Message,None
370,22623,1,10/01/2020,Wrong Number,None
371,19030,1,09/30/2020,Wrong Number,None
372,113172,1,10/01/2020,Answered,Yes
373,63628,9,09/29/2020,Left Message,None
374,66810,10,09/29/2020,Left Message,None
375,33183,9,09/28/2020,Left Message,None
376,148,1,09/28/2020,Left Message,None
377,18555,1,09/30/2020,Wrong Number,None
378,69716,11,09/29/2020,Left Message,None
379,139794,15,10/01/2020,Left Message,None
380,118598,2,10/01/2020,Left Message,None
381,139212,15,10/01/2020,Bad Number,None
382,66263,10,09/29/2020,Left Message,None
383,164617,8,10/02/2020,Bad Number,None
384,161914,7,10/02/2020,Left Message,None
385,47144,12,09/28/2020,Left Message,None
386,93119,11,09/30/2020,Left Message,None
387,128357,2,10/01/2020,Left Message,None
388,47677,12,09/28/2020,Left Message,None
389,96006,11,09/30/2020,Left Message,None
390,160574,7,10/02/2020,Left Message,None
391,129815,8,10/01/2020,Left Message,None
392,62979,9,09/29/2020,Bad Number,None
393,99256,12,09/30/2020,Left Message,None
394,47748,12,09/28/2020,Left Message,None
395,85519,8,09/30/2020,Answered,Refused
396,118437,2,10/01/2020,Left Message,None
397,131451,9,10/01/2020,Left Message,None
398,151216,6,10/02/2020,Bad Number,None
399,65916,9,09/29/2020,Left Message,None
400,3779,1,09/28/2020,Left Message,None
401,130911,9,10/01/2020,Bad Number,None
402,135237,11,10/01/2020,Left Message,None
403,153696,6,10/02/2020,Left Message,None
404,70200,11,09/29/2020,Left Message,None
405,106753,14,09/30/2020,Answered,Refused
406,148009,5,10/02/2020,Left Message,None
407,85974,8,09/30/2020,Left Message,None
408,66639,10,09/29/2020,Left Message,None
409,150028,6,10/02/2020,Left Message,None
410,9997,1,09/28/2020,Left Message,None
411,69116,11,09/29/2020,Answered,Refused
412,2010,1,09/28/2020,Left Message,None
413,234,1,09/28/2020,Left Message,None
414,65425,9,09/29/2020,Left Message,None
415,130026,8,10/01/2020,Bad Number,None
