,ID,Congressional District,Call Date,Disposition,Q1
142,36514,10,09/28/2020,Bad Number,Undecided
143,93421,11,09/30/2020,Bad Number,Undecided
144,3946,1,09/28/2020,Wrong Number,Undecided
145,99231,12,09/30/2020,Answered,Refused
146,38294,11,09/28/2020,Left Message,Undecided
147,128925,8,10/01/2020,Left Message,Undecided
148,160709,7,10/02/2020,Left Message,Undecided
149,35778,10,09/28/2020,Left Message,Undecided
150,132380,10,10/01/2020,Bad Number,Undecided
151,93606,11,09/30/2020,Bad Number,Undecided
152,163559,8,10/02/2020,Bad Number,Undecided
153,41463,11,09/28/2020,Bad Number,Undecided
154,97955,12,09/30/2020,Left Message,Undecided
155,29746,8,09/28/2020,Left Message,Undecided
156,138319,13,10/01/2020,Bad Number,Undecided
157,164080,8,10/02/2020,Answered,No
158,18514,1,09/30/2020,Wrong Number,Undecided
159,78918,13,09/29/2020,Left Message,Undecided
160,151575,6,10/02/2020,Left Message,Undecided
161,74006,12,09/29/2020,Bad Number,Undecided
162,126494,2,10/01/2020,Left Message,Undecided
163,8914,1,09/28/2020,Left Message,Undecided
164,83760,15,09/29/2020,Left Message,Undecided
165,28620,8,09/28/2020,Left Message,Undecided
166,41208,11,09/28/2020,Left Message,Undecided
167,53962,14,09/28/2020,Left Message,Undecided
168,29429,8,09/28/2020,Bad Number,Undecided
169,97961,12,09/30/2020,Bad Number,Undecided
170,151741,6,10/02/2020,Left Message,Undecided
171,67838,10,09/29/2020,Left Message,Undecided
172,1613,1,09/28/2020,Left Message,Undecided
173,34771,9,09/28/2020,Left Message,Undecided
174,99839,12,09/30/2020,Left Message,Undecided
175,146321,3,10/02/2020,Left Message,Undecided
176,76116,12,09/29/2020,Left Message,Undecided
177,131744,10,10/01/2020,Left Message,Undecided
178,16770,1,09/30/2020,Wrong Number,Undecided
179,151428,6,10/02/2020,Answered,Yes
180,111872,15,09/30/2020,Answered,Yes
181,103520,13,09/30/2020,Bad Number,Undecided
182,162787,7,10/02/2020,Left Message,Undecided
183,53338,14,09/28/2020,Left Message,Undecided
184,158946,7,10/02/2020,Left Message,Undecided
185,37392,11,09/28/2020,Bad Number,Undecided
186,122442,2,10/01/2020,Left Message,Undecided
187,163248,8,10/02/2020,Left Message,Undecided
188,131216,9,10/01/2020,Bad Number,Undecided
189,94746,11,09/30/2020,Left Message,Undecided
190,157412,7,10/02/2020,Bad Number,Undecided
191,38933,11,09/28/2020,Left Message,Undecided
192,151363,6,10/02/2020,Bad Number,Undecided
193,56087,15,09/28/2020,Answered,Refused
194,108497,15,09/30/2020,Bad Number,Undecided
195,85136,15,09/29/2020,Left Message,Undecided
196,56232,15,09/28/2020,Bad Number,Undecided
197,142085,2,10/02/2020,Left Message,Undecided
198,14661,1,09/29/2020,Left Message,Undecided
199,152340,6,10/02/2020,Left Message,Undecided
200,43489,12,09/28/2020,Bad Number,Undecided
201,124742,2,10/01/2020,Left Message,Undecided
202,58034,8,09/29/2020,Left Message,Undecided
203,149933,6,10/02/2020,Left Message,Undecided
204,109418,15,09/30/2020,Left Message,Undecided
205,116220,2,10/01/2020,Left Message,Undecided
206,15872,1,09/30/2020,Wrong Number,Undecided
207,72383,11,09/29/2020,Answered,No
208,913,1,09/28/2020,Wrong Number,Undecided
209,86595,8,09/30/2020,Answered,Yes
210,33266,9,09/28/2020,Left Message,Undecided
211,44690,12,09/28/2020,Bad Number,Undecided
212,84998,15,09/29/2020,Answered,Refused
213,36705,10,09/28/2020,Answered,No
214,13795,1,09/29/2020,Left Message,Undecided
215,39706,11,09/28/2020,Left Message,Undecided
216,65113,9,09/29/2020,Left Message,Undecided
217,15379,1,09/29/2020,Wrong Number,Undecided
218,162378,7,10/02/2020,Answered,Yes
219,41188,11,09/28/2020,Bad Number,Undecided
220,20029,1,09/30/2020,Wrong Number,Undecided
221,120695,2,10/01/2020,Left Message,Undecided
222,101700,12,09/30/2020,Left Message,Undecided
223,89785,9,09/30/2020,Left Message,Undecided
224,148000,5,10/02/2020,Left Message,Undecided
225,144231,3,10/02/2020,Answered,Refused
